CODE_RPG;LIBELLE_RPG;CODE_GROUPE_RPG;LIBELLE_GROUPE_RPG;CODE_CPS;LIBELLE_CPS;PBS_RHONE_ALPES;PBS_PACA;SCORE_IQE_RHONE_ALPES;SCORE_IQE_PACA;NIVEAU_IQE_RHONE_ALPES;NIVEAU_IQE_PACA
MLT;Millet;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
MCR;Mélange de céréales ou pseudo-céréales d'hiver entre elles;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
SOG;Sorgho;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
MCS;Mélange de céréales ou pseudo-céréales de printemps entre elles;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
CAH;Autre céréale ou pseudo-céréale secondaire d'hiver;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
CAG;Autre céréale ou pseudo-céréale secondaire de printemps (alpiste, quinoa, chia, );4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
LIP;Lin non textile de printemps;7;Autres oléagineux;I1140T;Lin oléagineux;783.91;794.49;1;1;Tres faible valeur economique;Tres faible valeur economique
FVL;Féverole d'hiver;8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
PAG;Autre légumineuse à graines ou fourragères;8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
PHI;Pois protéagineux d'hiver (alimentation animale);8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
MPC;Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales;8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
FEV;Fève;8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
PPR;Pois protéagineux de printemps (alimentation animale);8;Protéagineux;P1000T;Pois, fèves et lupins doux;677.16;549.17;1;1;Tres faible valeur economique;Tres faible valeur economique
AVP;Avoine de printemps;4;Autres céréales;C1400T;Avoine;646.21;402.57;1;1;Tres faible valeur economique;Tres faible valeur economique
AVH;Avoine dhiver;4;Autres céréales;C1400T;Avoine;646.21;402.57;1;1;Tres faible valeur economique;Tres faible valeur economique
PCH;Pois chiche;15;Légumineuses à grains;P0000T;Légumes secs et protéagineux - total;632.78;613.86;1;1;Tres faible valeur economique;Tres faible valeur economique
LEC;Lentille;15;Légumineuses à grains;P0000T;Légumes secs et protéagineux - total;632.78;613.86;1;1;Tres faible valeur economique;Tres faible valeur economique
PHS;Pois et haricot secs (alimentation humaine);8;Protéagineux;P0000T;Légumes secs et protéagineux - total;632.78;613.86;1;1;Tres faible valeur economique;Tres faible valeur economique
PHF;Pois et haricot frais (alimentation humaine);8;Protéagineux;P0000T;Légumes secs et protéagineux - total;632.78;613.86;1;1;Tres faible valeur economique;Tres faible valeur economique
SGH;Seigle dhiver;4;Autres céréales;C1200T;Seigle;626.25;442.92;1;1;Tres faible valeur economique;Tres faible valeur economique
LUZ;Autre luzerne;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
MLF;Mélange de légumineuses à graines ou fourragères pures;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
MLG;Mélange de légumineuses prépondérantes et de graminées fourragères de 5 ans ou moins;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
LOT;Lotier, minette;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
SAI;Sainfoin;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
TRE;Autre trèfle;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
VES;Vesce, mélilot, jarosse, serradelle;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
MLC;Mélange multi-espèces avec légumineuses fourragères prépondérantes sans graminées prairiales;16;Fourrage;G2000T;Légumineuses;102.66;110.47;1;1;Tres faible valeur economique;Tres faible valeur economique
GRA;Graminée pure exclusivement pour gazon ou pour production de semences certifiées;28;Divers;G1000T;Prairies temporaires;47.4;52.43;1;1;Tres faible valeur economique;Tres faible valeur economique
PTR;Prairie temporaire de moins de 5 ans et autre mélange avec graminées;19;Prairies temporaires;G1000T;Prairies temporaires;47.4;52.43;1;1;Tres faible valeur economique;Tres faible valeur economique
PPH;Prairie de 6 ans ou plus (couvert herbacé);18;Prairies permanentes;J1000T;Prairies permanentes hors pâturages pauvres;40.96;73.84;1;1;Tres faible valeur economique;Tres faible valeur economique
CPL;Mélange multi-espèces (céréales, oléagineux, légumineuses, ) sans graminées prairiales et sans prédominance de légumineuses;16;Fourrage;G9100T_G9900T;Autres plantes fourragères annuelles;40.17;81.31;1;1;Tres faible valeur economique;Tres faible valeur economique
AFG;Autre plante fourragère annuelle (ni légumineuse, ni graminée, ni céréale, ni oléagineux);16;Fourrage;G9100T_G9900T;Autres plantes fourragères annuelles;40.17;81.31;1;1;Tres faible valeur economique;Tres faible valeur economique
MOH;Moha;16;Fourrage;G9100T_G9900T;Autres plantes fourragères annuelles;40.17;81.31;1;1;Tres faible valeur economique;Tres faible valeur economique
SPH;Prairie avec herbe prédominante et ressources fourragères ligneuses présentes;17;Estives et landes;J2000T;Pâturages pauvres;14.16;5.78;1;1;Tres faible valeur economique;Tres faible valeur economique
SPL;Surface pastorale - Ressources fourragères ligneuses prédominantes;17;Estives et landes;J2000T;Pâturages pauvres;14.16;5.78;1;1;Tres faible valeur economique;Tres faible valeur economique
JAC;Jachère (terre arable);11;Gel (surfaces gelées sans production);J3000TE;Prairies permanentes non exploitées à des fins de production et donnant droit au versement de subventions;0.0;0.0;1;1;Tres faible valeur economique;Tres faible valeur economique
BFS;Bordure le long d'une forêt sans production;28;Divers;J3000TE;Prairies permanentes non exploitées à des fins de production et donnant droit au versement de subventions;0.0;0.0;1;1;Tres faible valeur economique;Tres faible valeur economique
BOR;Bordure de champ;28;Divers;J3000TE;Prairies permanentes non exploitées à des fins de production et donnant droit au versement de subventions;0.0;0.0;1;1;Tres faible valeur economique;Tres faible valeur economique
BTA;Bande tampon;28;Divers;J3000TE;Prairies permanentes non exploitées à des fins de production et donnant droit au versement de subventions;0.0;0.0;1;1;Tres faible valeur economique;Tres faible valeur economique
